longitude,HumanDistance,EleID,Hour,Year,LC_60.0,LC_90.0,LC_30.0,RoadDistance,TimeOfDay,LandCover2,NDVI_normalized,WaterDistance,Month,latitude,Datetime_standard,LC_80.0,Date_parsed,Elevation,LC_50.0,DayOfWeek,Day,LC_40.0,ElephantPresent,LC_20.0,LC_10.0,Name,Season,Protected
80.31533357,611.7273796,621994,12,,0,0,0,344.8623191,Midday,10.0,0.8245,153.5677649,,7.925817032,,0,,110.0,0,,,0,1,0,1,Madara,,0
79.952736926334,417.9268672,0,0,2009.0,1,0,0,1115.048663,Night,60.0,0.6874,1011.359446,9.0,5.171994403602981,2009-09-05 00:00:00,0,2009-09-05,10.0,0,5.0,5.0,0,0,0,0,Negative,Inter-Monsoon-2,0
81.38383221656784,417.9268672,0,12,2009.0,1,0,0,1115.048663,Midday,60.0,0.6874,1011.359446,12.0,5.380856287228246,2009-12-07 12:00:00,0,2009-12-07,10.0,0,0.0,7.0,0,0,0,0,Negative,Dry,0
81.7184108,3368.301296,621514,20,2010.0,0,0,1,1128.76105,Evening,30.0,0.6665,456.0236557,9.0,7.27428269,2010-09-08 20:00:00,0,2010-09-08 00:00:00,13.0,0,2.0,8.0,0,1,0,0,Udani,Inter-Monsoon-2,0
80.24392946,1290.430854,622000,12,,0,0,0,342.4397355,Midday,10.0,0.7477,1181.044039,,7.968909731,,0,,81.0,0,,,0,1,0,1,Kumari,,1
80.88198835,1359.523105,622001,16,2010.0,0,0,0,906.8515,Afternoon,10.0,0.8403,964.541194,5.0,8.087780267,2010-05-12 16:00:00,0,2010-05-12 00:00:00,112.0,0,2.0,12.0,0,1,0,1,Nancy,Inter-Monsoon,1
81.1331715553371,417.9268672,0,16,2009.0,1,0,0,1115.048663,Afternoon,60.0,0.6874,1011.359446,11.0,4.955319686028366,2009-11-12 16:00:00,0,2009-11-12,10.0,0,3.0,12.0,0,0,0,0,Negative,Inter-Monsoon-2,0
80.53652656,897.224579,621991,8,2010.0,0,0,0,1304.960536,Early Morning,10.0,0.2676,1930.387408,3.0,7.959209407,2010-03-12 08:00:00,0,2010-03-12 00:00:00,130.0,0,4.0,12.0,0,1,0,1,Kala,Inter-Monsoon,0
80.35327743,675.0654289,621994,16,,0,0,0,1192.399592,Afternoon,10.0,0.7589,402.4090735,,7.888485462,,0,,104.0,0,,,0,1,0,1,Madara,,0
80.17955432,371.1779776,621993,12,,0,0,0,4163.839159,Midday,10.0,0.8789,1333.841133,,8.011053023,,0,,72.0,0,,,0,1,0,1,Wira,,0
80.74433861375397,1794.191176,0,4,2010.0,0,0,1,855.1141971,Night,30.0,0.8814,659.0512704,3.0,7.932677846464619,2010-03-09 04:00:00,0,2010-03-09,198.0,0,1.0,9.0,0,0,0,0,Negative,Inter-Monsoon,1
80.17000769363747,1160.811698,0,20,2009.0,0,0,1,405.9196172,Evening,30.0,0.4663,552.2969966,12.0,7.895863325979398,2009-12-04 20:00:00,0,2009-12-04,44.0,0,4.0,4.0,0,0,0,0,Negative,Dry,0
80.51758976429474,1174.857099,0,20,2010.0,0,0,0,2268.683864,Evening,10.0,0.7293,1295.437886,2.0,7.15811332118337,2010-02-05 20:00:00,0,2010-02-05,321.0,0,4.0,5.0,0,0,0,1,Negative,Dry,0
81.20531671,6932.142991,621996,20,,0,0,0,2015.931327,Evening,40.0,0.708,14762.46638,,6.583515413,,0,,119.0,0,,,1,1,0,0,Ekes,,0
84.35830737767039,401510.5496,0,12,2010.0,0,0,0,401204.4907,Midday,10.0,-0.2,398831.7056,9.0,4.626868929100159,2010-09-07 12:00:00,0,2010-09-07,84.0,0,1.0,7.0,0,0,0,1,Negative,Inter-Monsoon-2,0
81.75995498,788.8988857,621513,20,,0,0,0,1466.54343,Evening,40.0,0.7562,7057.868767,,7.30243556,,0,,9.0,0,,,1,1,0,0,Sugala,,0
81.72339272,3350.603218,621514,20,2010.0,1,0,0,981.6600975,Evening,60.0,0.7628,2997.631494,9.0,7.285436482,2010-09-10 20:00:00,0,2010-09-10 00:00:00,14.0,0,4.0,10.0,0,1,0,0,Udani,Inter-Monsoon-2,0
81.18642934,4757.531854,621995,12,,0,0,1,875.6787368,Midday,30.0,0.48,12332.67097,,8.107093985,,0,,21.0,0,,,0,1,0,0,Soma,,1
82.47168280609924,318.8917127,0,8,2009.0,0,0,0,283.3800832,Early Morning,10.0,0.829,51.41555241,11.0,5.980304297273938,2009-11-12 08:00:00,0,2009-11-12,15.0,0,3.0,12.0,0,0,0,1,Negative,Inter-Monsoon-2,1
80.79890881,3335.208234,621990,0,,0,0,0,1295.531996,Night,10.0,0.9097,1261.460811,,8.05774401,,0,,154.0,0,,,0,1,0,1,Samudra,,1
81.5892381,2840.120457,621513,8,,0,0,0,1424.952294,Early Morning,10.0,0.9039,1867.620713,,7.325005612,,0,,64.0,0,,,0,1,0,1,Sugala,,0
80.30683798,441.8388443,621994,8,,0,0,0,850.8521304,Early Morning,10.0,0.8298,633.4885306,,7.955262355,,0,,92.0,0,,,0,1,0,1,Madara,,0
80.29010683,979.837172,621994,12,2010.0,0,0,0,2111.764345,Midday,10.0,0.791,1173.152901,9.0,7.997835531,2010-09-09 12:00:00,0,2010-09-09 00:00:00,83.0,0,3.0,9.0,0,1,0,1,Madara,Inter-Monsoon-2,0
81.40727809,8118.17237,621997,20,2010.0,0,0,0,5640.64034,Evening,10.0,0.9281,5406.424353,4.0,6.653723365,2010-04-09 20:00:00,0,2010-04-09 00:00:00,87.0,0,4.0,9.0,0,1,0,1,Babar,Inter-Monsoon,1
80.79873404,3780.478988,621991,12,,0,0,0,1596.268078,Midday,10.0,0.9097,1756.918953,,8.062465662,,0,,172.0,0,,,0,1,0,1,Samudra,,1
82.20592363369137,351.455844,0,8,2010.0,0,0,0,1070.236594,Early Morning,40.0,0.7758,1675.122865,3.0,7.380694861258048,2010-03-09 08:00:00,0,2010-03-09,10.0,0,1.0,9.0,1,0,0,0,Negative,Inter-Monsoon,0
80.90848649110431,1132.89377,0,12,2010.0,0,0,0,873.101701,Midday,40.0,0.7289,762.8541354,1.0,6.195419607696635,2010-01-03 12:00:00,0,2010-01-03,17.0,0,6.0,3.0,1,0,0,0,Negative,Dry,0
79.96360943717599,340.9787467,0,20,2010.0,0,0,0,994.6946886,Evening,10.0,0.8027,625.9854753,4.0,8.039364167221796,2010-04-03 20:00:00,0,2010-04-03,75.0,0,5.0,3.0,0,0,0,1,Negative,Inter-Monsoon,0
